GameOver TIMESTEP: 1750, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.828076e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.899999999999999, Standard Deviation Of Score: 0.02390457218668779, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1800, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.526530e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8999999999999995, Standard Deviation Of Score: 0.0235702260395515, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1850, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.200076e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8999999999999995, Standard Deviation Of Score: 0.023249527748763776, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1900, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.853647e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9, Standard Deviation Of Score: 0.022941573387056095, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1956, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.470634e-02, Episode Reward: 4.4999999999999964, Average Reward: 3.9153846153846152, Standard Deviation Of Score: 0.09750335047093064, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2006, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.674004e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9149999999999983, Standard Deviation Of Score: 0.09630680142129078, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2056, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.549946e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.914634146341462, Standard Deviation Of Score: 0.09515321562502971, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2106, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.995606e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9142857142857133, Standard Deviation Of Score: 0.09404008408634014, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2156, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.297043e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.913953488372092, Standard Deviation Of Score: 0.09296509809910054, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2206, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.246707e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9136363636363627, Standard Deviation Of Score: 0.09192612916434825, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2256, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.111941e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9133333333333327, Standard Deviation Of Score: 0.09092121131323871, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2306, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.174465e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9130434782608687, Standard Deviation Of Score: 0.08994852550250924, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2356, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.473625e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.912765957446808, Standard Deviation Of Score: 0.08900638580149706, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2406, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.000027e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9124999999999983, Standard Deviation Of Score: 0.08809322713277459, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2456, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.495705e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9122448979591824, Standard Deviation Of Score: 0.08720759436416906, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
